VCD info: dumpfile report/waveform.vcd opened for output.
                   0   x *  x =    x _______ A:xxxx, XB:0000xxxx, state = 0, next_state = x, count = 4 , B0,B-1 = x0, out_ready = 0
                 434  -2 *  6 =   -6 _______ A:1110, XB:00010001, state = 3, next_state = 4, count = 2 , B0,B-1 = 11, out_ready = 0
                 438  -2 *  6 =   -6 _______ A:1110, XB:00001000, state = 4, next_state = 1, count = 1 , B0,B-1 = 01, out_ready = 0
                 442  -2 *  6 =   -6 _______ A:1110, XB:00001000, state = 1, next_state = 3, count = 1 , B0,B-1 = 01, out_ready = 0
                 446  -2 *  6 =   -6 _______ A:1110, XB:11101000, state = 3, next_state = 4, count = 1 , B0,B-1 = 01, out_ready = 0
                 450  -2 *  6 =  -12 _______ A:1110, XB:11110100, state = 4, next_state = 3, count = 0 , B0,B-1 = 00, out_ready = 1
                 454  -2 *  6 =  -12 _______ A:1110, XB:11110100, state = 3, next_state = 0, count = 0 , B0,B-1 = 00, out_ready = 1
                 455  -2 *  6 =  -12 _______ A:1110, XB:00000110, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 460  -7 * -1 =  -12 _______ A:1110, XB:00000110, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 462  -7 * -1 =  -12 _______ A:1001, XB:00001111, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 466  -7 * -1 =  -12 _______ A:1001, XB:00001111, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 470  -7 * -1 =  -12 _______ A:1001, XB:01111111, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 474  -7 * -1 =  -12 _______ A:1001, XB:00111111, state = 4, next_state = 3, count = 3 , B0,B-1 = 11, out_ready = 0
                 478  -7 * -1 =  -12 _______ A:1001, XB:00111111, state = 3, next_state = 4, count = 3 , B0,B-1 = 11, out_ready = 0
                 482  -7 * -1 =  -12 _______ A:1001, XB:00011111, state = 4, next_state = 3, count = 2 , B0,B-1 = 11, out_ready = 0
                 486  -7 * -1 =  -12 _______ A:1001, XB:00011111, state = 3, next_state = 4, count = 2 , B0,B-1 = 11, out_ready = 0
                 490  -7 * -1 =  -12 _______ A:1001, XB:00001111, state = 4, next_state = 3, count = 1 , B0,B-1 = 11, out_ready = 0
                 494  -7 * -1 =  -12 _______ A:1001, XB:00001111, state = 3, next_state = 4, count = 1 , B0,B-1 = 11, out_ready = 0
                 498  -7 * -1 =    7 _______ A:1001, XB:00000111, state = 4, next_state = 3, count = 0 , B0,B-1 = 11, out_ready = 1
                 500  -7 * -1 =    7 _______ A:1001, XB:00001111, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 505  -4 * -1 =    7 _______ A:1001, XB:00001111, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 506  -4 * -1 =    7 _______ A:1100, XB:00001111, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 510  -4 * -1 =    7 _______ A:1100, XB:00001111, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 514  -4 * -1 =    7 _______ A:1100, XB:01001111, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 518  -4 * -1 =    7 _______ A:1100, XB:00100111, state = 4, next_state = 3, count = 3 , B0,B-1 = 11, out_ready = 0
                 522  -4 * -1 =    7 _______ A:1100, XB:00100111, state = 3, next_state = 4, count = 3 , B0,B-1 = 11, out_ready = 0
                 526  -4 * -1 =    7 _______ A:1100, XB:00010011, state = 4, next_state = 3, count = 2 , B0,B-1 = 11, out_ready = 0
                 530  -4 * -1 =    7 _______ A:1100, XB:00010011, state = 3, next_state = 4, count = 2 , B0,B-1 = 11, out_ready = 0
                 534  -4 * -1 =    7 _______ A:1100, XB:00001001, state = 4, next_state = 3, count = 1 , B0,B-1 = 11, out_ready = 0
                 538  -4 * -1 =    7 _______ A:1100, XB:00001001, state = 3, next_state = 4, count = 1 , B0,B-1 = 11, out_ready = 0
                 542  -4 * -1 =    4 _______ A:1100, XB:00000100, state = 4, next_state = 1, count = 0 , B0,B-1 = 01, out_ready = 1
                 545  -4 * -1 =    4 _______ A:1100, XB:00001111, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 550   6 *  3 =    4 _______ A:0110, XB:00000011, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 554   6 *  3 =    4 _______ A:0110, XB:00000011, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 558   6 *  3 =    4 _______ A:0110, XB:10100011, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 562   6 *  3 =    4 _______ A:0110, XB:11010001, state = 4, next_state = 3, count = 3 , B0,B-1 = 11, out_ready = 0
                 566   6 *  3 =    4 _______ A:0110, XB:11010001, state = 3, next_state = 4, count = 3 , B0,B-1 = 11, out_ready = 0
                 570   6 *  3 =    4 _______ A:0110, XB:11101000, state = 4, next_state = 1, count = 2 , B0,B-1 = 01, out_ready = 0
                 574   6 *  3 =    4 _______ A:0110, XB:11101000, state = 1, next_state = 3, count = 2 , B0,B-1 = 01, out_ready = 0
                 578   6 *  3 =    4 _______ A:0110, XB:01001000, state = 3, next_state = 4, count = 2 , B0,B-1 = 01, out_ready = 0
                 582   6 *  3 =    4 _______ A:0110, XB:00100100, state = 4, next_state = 3, count = 1 , B0,B-1 = 00, out_ready = 0
                 586   6 *  3 =    4 _______ A:0110, XB:00100100, state = 3, next_state = 4, count = 1 , B0,B-1 = 00, out_ready = 0
                 590   6 *  3 =   18 _______ A:0110, XB:00010010, state = 4, next_state = 3, count = 0 , B0,B-1 = 00, out_ready = 1
                 594   6 *  3 =   18 _______ A:0110, XB:00010010, state = 3, next_state = 0, count = 0 , B0,B-1 = 00, out_ready = 1
                 595   6 *  3 =   18 _______ A:0110, XB:00000011, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
